Description|Ingredient Type|_NDB__NO_|Weight|Measure|Volume|Density|Energy|Protein|Fat|Carbohydrates|Fiber|Sugars|Calcium|Iron|Sodium|Fatty acids|Cholesterol|Vitamin C
Spices, bay leaf, crumbled|small volume dry|"02004"|0.6|1.0 tsp|4.929|0.1217285453|2|0.05|0.05|0.45|0.2|--|5|0.26|0|0.014|0|0.3
Spices, caraway seed|small volume dry|"02005"|2.1|1.0 tsp|4.929|0.4260499087|7|0.42|0.31|1.05|0.8|0.01|14|0.34|0|0.013|0|0.4
Spices, cinnamon, ground|small volume dry|"02010"|2.6|1.0 tsp|4.929|0.5274903632|6|0.1|0.03|2.1|1.4|0.06|26|0.22|0|0.009|0|0.1
Spices, curry powder|small volume dry|"02015"|2|1.0 tsp|4.929|0.4057618178|6|0.29|0.28|1.12|1.1|0.06|10|0.38|1|0.033|0|0
Spices, ginger, ground|small volume dry|"02021"|1.8|1.0 tsp|4.929|0.365185636|6|0.16|0.08|1.29|0.3|0.06|2|0.36|0|0.047|0|0
Spices, mace, ground|small volume dry|"02022"|1.7|1.0 tsp|4.929|0.3448975451|8|0.11|0.55|0.86|0.3|--|4|0.24|1|0.162|0|0.4
Spices, marjoram, dried|small volume dry|"02023"|0.6|1.0 tsp|4.929|0.1217285453|2|0.08|0.04|0.36|0.2|0.02|12|0.5|0|0.003|0|0.3
Spices, mustard seed, ground|small volume dry|"02024"|2|1.0 tsp|4.929|0.4057618178|10|0.52|0.72|0.56|0.2|0.14|5|0.18|0|0.04|0|0.1
Spices, nutmeg, ground|small volume dry|"02025"|2.2|1.0 tsp|4.929|0.4463379996|12|0.13|0.8|1.08|0.5|0.63|4|0.07|0|0.571|0|0.1
Spices, savory, ground|small volume dry|"02039"|1.4|1.0 tsp|4.929|0.2840332725|4|0.09|0.08|0.96|0.6|--|30|0.53|0|0.046|0|0.7
Spices, tarragon, dried leaves|small volume dry|"02041"|0.6|1.0 tsp|4.929|0.1217285453|2|0.14|0.04|0.3|0|--|7|0.19|0|0.011|0|0.3
Spices, thyme, dried leaves|small volume dry|"02042"|1|1.0 tsp|4.929|0.2028809089|3|0.09|0.07|0.64|0.4|0.02|19|1.24|1|0.027|0|0.5
Spices, turmeric, ground|small volume dry|"02043"|3|1.0 tsp|4.929|0.6086427267|9|0.29|0.1|2.01|0.7|0.1|5|1.65|1|0.055|0|0
Splenda|sweeteners||1|1.0 teaspoon|4.92892|0.2028842018|0|0|0|1|1|0|||0|0|0|
Stevia, granulated|sweeteners||1|1.0 teaspoon|4.92892|0.2028842018|0|0|0|0|0|0|||0|0|0|
Stevia, liquid|sweeteners|||||1|0|0|0|0|0|0|||0|0|0|
Sweetened condensed milk|sweeteners||20|1.0 tablespoon|14.79|1.3522650439|60|1.5|0.75|12|0|12|||20|0.5|3|
Table salt|small volume dry||8|1.0 teaspoon|4.92892|1.6230736145|0|0|0|0|0|0|||2360|0|0|
Tangerines, (mandarin oranges), sections|fruit|"09218"|195|1.0 cup|236.588|0.8242176273|103|1.58|0.6|26.01|3.5|20.63|72|0.29|4|0.076|0|52.1
Teff flour|bulk dry||31|0.25 cup|59.147|0.5241178758|113|4|1|22|4|0|5%|13%|5|0||
Teff, cooked|bulk dry|"20143"|252|1.0 cup|236.588|1.0651427799|255|9.75|1.64|50.05|7.1|--|123|5.17|20|||
Tofu, raw, firm|viscous "liquid"|"16426"|126|0.5 cup|118.294|1.0651427799|183|19.88|10.99|5.38|2.9|--|861|3.35|18|1.589|0|0.3
Vanilla extract|liquid|"02050"|4.2|1.0 tsp|4.929|0.8520998174|12|0|--|0.53|0|--|0|0.01|0|0|--|0
Vegan margarine, earth balance|fats||14|1.0 tablespoon|14.79|0.9465855308|110|0|11|0|0|0|||100|3|0|
Vegetable shortening|fats||15|1.0 tablespoon|14.79|1.014198783|120|0|13|0|0|0|||0|3|0|
Vinegar, balsamic|liquid||15|1.0 tablespoon||1.01|10|0|0|3|0|3||||||
Vinegar, cider|liquid||240|1.0 cup||1.01|48|0|0|1.6|0|1.6|||16|||
Vinegar, white distilled|liquid||238|1.0 cup||1.01|48|0|0|0|0|0||||||
Wheat bran|bulk dry||15|0.25 cup|59.147|0.2536054238|30|2|0|10|7|0||10%|0|0||
Wheat flour, cake|bulk dry||30|0.25 cup|59.147|0.5072108475|110|3|0|23|1|0|0%|2%||||
Wheat flour, self-rising|bulk dry||31|0.25 cup|59.147|0.5241178758|111|3.1|0.3|23.2|0.85|0.075|||397|0.05||
Wheat flour, white, all-purpose, enriched, calcium-fortified|bulk dry|"20381"|125|1.0 cup|236.588|0.5283446329|455|12.91|1.22|95.39|3.4|--|315|5.8|2|0.194|--|0
Wheat flour, white, bread, enriched|bulk dry|"20083"|137|1.0 cup|236.588|0.5790657176|495|16.41|2.27|99.37|3.3|0.42|21|6.04|3|0.334|--|0
Wheat gluten|small volume dry||9|1.0 tablespoon|14.79|0.6085192698|35|5|0|3|0|0||2%|0|0|0|
Whole buckwheat flour|bulk dry||30|0.25 cup|59.147|0.5072108475|101|3.775|0.925|21.175|3|0.775|1%|7%|3|0.2||
Whole spelt flour|bulk dry||31|0.25 cup|59.147|0.5241178758|120|4|1|22|4|0||8%||||
Whole whear pastry flour|bulk dry||30|0.25 cup|59.147|0.5072108475|110|3|0.5|23|4|0|2%|8%|0|0||
Whole wheat flour (white or red wheat)|bulk dry||32|0.25 cup|59.147|0.5410249041|110|4|0.5|23|4|0|2%|6%||||
Wine|liquid||103|3.5 fl oz||1|85|0.1||2.8||0.8|1%|2%|5|||
Xanthan gum|small volume dry||24|2.0 tablespoon|29.58|0.8113590264|80|0|0|20|20|0|60%||420|0|0|
Yogurt, greek|viscous "liquids"||227|1.0 cup|236.588|0.9594738533|130|23.1|0|9.1|0|9.1|30%||95|0|3|
Yogurt, plain, low fat, 12 grams protein per 8 ounce|viscous "liquid"|"01117"|170|1.0 container (6 oz)||1.04|107|8.92|2.64|11.97|0|--|311|0.14|119|1.7|10|1.4
Yogurt, plain, whole milk, 8 grams protein per 8 ounce|viscous "liquid"|"01116"|170|1.0 container (6 oz)||1.04|104|5.9|5.52|7.92|0|--|206|0.08|78|3.563|22|0.8
