Description|Ingredient Type|_NDB__NO_|Weight|Measure|Volume|Density|Energy|Protein|Fat|Carbohydrates|Fiber|Sugars|Calcium|Iron|Sodium|Fatty acids|Cholesterol|Vitamin C
Cheese, mozzarella, whole milk, shredded|mix-ins|"01026"|112|1.0 cup|236.588|0.473396791|336|24.83|25.03|2.45|0|1.15|566|0.49|702|14.73|88|0
Cheese, muenster, diced|mix-ins|"01030"|132|1.0 cup|236.588|0.5579319323|486|30.9|39.65|1.48|0|--|946|0.54|829|25.229|127|0
Cheese, neufchatel|viscous "liquid"|"01031"|28.35|1.0 oz||1.01|72|2.59|6.46|1.02|0|0.9|33|0.04|95|3.626|21|0
Cheese, parmesan, grated|mix-ins|"01032"|100|1.0 cup|236.588|0.4226757063|431|38.46|28.61|4.06|0|0.9|1109|0.9|1529|17.301|88|0
Cheese, provolone, diced|mix-ins|"01035"|132|1.0 cup|236.588|0.5579319323|463|33.77|35.14|2.82|0|0.74|998|0.69|1156|22.543|91|0
Cheese, ricotta, part skim milk|viscous "liquid"|"01037"|124|0.5 cup|118.294|1.0482357516|171|14.12|9.81|6.37|0|0.38|337|0.55|123|6.109|38|0
Cheese, ricotta, whole milk|viscous "liquid"|"01036"|124|0.5 cup|118.294|1.0482357516|216|13.96|16.1|3.77|0|0.33|257|0.47|104|10.286|63|0
Cheese, swiss, diced|mix-ins|"01040"|132|1.0 cup|236.588|0.5579319323|502|35.55|36.7|7.1|0|1.74|1044|0.26|92|23.468|121|0
Cherries, sour, canned with syrup|fruit|"09065"|252|1.0 cup|236.588|1.0651427799|189|1.86|0.25|48.64|2|--|25|3.33|18|0.055|0|5
Cherries, sour, red, frozen|fruit|"09068"|155|1.0 cup|236.588|0.6551473448|71|1.43|0.68|17.08|2.5|13.98|20|0.82|2|0.155|0|2.6
Cherries, sweet, canned with syrup, pitted|fruit|"09071"|248|1.0 cup|236.588|1.0482357516|114|1.91|0.32|29.16|3.7|25.44|27|0.89|2|0.069|0|5.5
Cherries, sweet, raw|fruit|"09070"|138|1.0 cup|236.588|0.5832924747|87|1.46|0.28|22.09|2.9|17.69|18|0.5|0|0.052|0|9.7
Chia seeds|mix-ins||15|1.0 tablespoon|14.79|1.014198783|60|3|4.5|5|5|0|6%|4%|0|0.5|0|
Citric acid|small volume dry||4|1.0 teaspoon|4.92892|0.8115368073|0|0|0|0|0|0|||0|0|0|
Coconut flour|bulk dry||14|2.0 tablespoon|29.58|0.4732927654|60|2|2|8|5|1||10%|30|2||
Coconut oil|fats||15|1.0 tablespoon|14.79|1.014198783|120|0|14|0|0|0|||0|12|0|
Corn flour|bulk dry||29|0.25 cup|59.147|0.4903038193|110|2|1|22|4|0||3%||||
Corn flour, masa, enriched, yellow|bulk dry|"20317"|114|1.0 cup|236.588|0.4818503052|416|10.58|4.4|86.97|7.3|--|155|8.54|6|0.606|--|0
Corn syrup|sweeteners||40|2.0 tablespoon|30|1.3333333333|120|0|0|30|0|10|||30|0|0|
Corn, white|fruit|"20314"|166|1.0 cup|236.588|0.7016416724|606|15.64|7.87|123.27|--|--|12|4.5|58|1.107|--|0
Cornmeal, self-rising, degermed, enriched, white|bulk dry|"20325"|138|1.0 cup|236.588|0.5832924747|490|11.61|2.37|103.21|9.8|--|483|6.53|1860|0.323|--|0
Cornmeal, whole grain|bulk dry||30|0.25 cup|59.147|0.5072108475|100|3|1|22|3|0||4%||||
Cornmeal, whole-grain|bulk dry|"20320"|122|1.0 cup|236.588|0.5156643617|442|9.91|4.38|93.81|8.9|0.78|7|4.21|43|0.616|--|0
cornstarch|bulk dry||8|1.0 tablespoon|14.79|0.5409060176|30|0|0|7|0|0|||0|0||
Cranberry sauce, canned, sweetened|viscous "liquid"|"09081"|277|1.0 cup|236.588|1.1708117064|418|0.55|0.42|107.75|2.8|104.98|11|0.61|80|0.036|0|5.5
Cream of tartar|small volume dry||4|1.0 teaspoon|4.92892|0.8115368073|8|0|0|1.8|0|0|||2|0|0|
Cream, fluid, light (coffee cream or table cream)|liquid|"01050"|30|1.0 fl oz||1.01|58|0.81|5.79|1.1|0|--|29|0.01|12|3.606|20|0.2
Cream, half and half|liquid|"01049"|30.2|1.0 fl oz||1.023|39|0.89|3.47|1.3|0|--|32|0.02|12|2.162|11|0.3
Cream, sour, cultured|viscous "liquid"|"01056"|12|1.0 tbsp||0.97|23|0.25|2.37|0.35|0|--|13|0.02|6|1.381|6|0.1
Cream, sour, reduced fat, cultured|viscous "liquid"|"01055"|15|1.0 tbsp||1|20|0.44|1.8|0.64|0|0.02|16|0.01|13|1.12|6|0.1
Currants raw|fruit|"09084"|112|1.0 cup|236.588|0.473396791|63|1.57|0.22|15.46|4.8|8.25|37|1.12|--|0.019|0|45.9
Currants, zante, dried|mix-ins|"09085"|144|1.0 cup|236.588|0.6086530171|408|5.88|0.39|106.68|9.8|96.88|124|4.69|12|0.04|0|6.8
Dill weed, fresh|small volume dry|"02045"|1|5.0 sprigs||0.04|0|0.03|0.01|0.07|0|--|2|0.07|1|0.001|0|0.8
Dried fruit|mix-ins|||||||||||||||||
Dutch-processed cocoa|bulk dry||5|1.0 tablespoon||0.35|15|0|1|2|1|0||||0.5||
Egg substitute, powder|bulk dry|"01144"|9.9|0.35 oz||0.95|44|5.49|1.29|2.16|0|--|32|0.31|79|0.373|57|0.1
Egg, white, raw, fresh|emulsifier|"01124"|33|1.0 large||1.03|17|3.6|0.06|0.24|0|0.23|2|0.03|55|--|--|0
Egg, whole, raw, fresh|emulsifier|"01123"|50|1.0 large||1.03|72|6.28|4.76|0.36|0|0.18|28|0.88|71|1.563|186|0
Egg, yolk, raw|emulsifier|"01127"|28.35|1.0 oz||1.03|87|3.93|6.47|3.1|0|2.92|35|1.05|20|2.016|260|0
Eggnog|liquid|"01057"|254|1.0 cup|236.588|1.073596294|224|11.56|10.64|20.45|0|--|330|0.51|137|6.581|150|3.8
Figs, 2-1/2" diameter|fruit|"09089"|64|1.0 large||1.29|47|0.48|0.19|12.28|1.9|10.41|22|0.24|1|0.038|0|1.3
Figs, canned, with liquid|fruit|"09090"|248|1.0 cup|236.588|1.0482357516|131|0.99|0.25|34.7|5.5|29.24|69|0.72|2|0.05|0|2.5
Flaxseed meal|bulk dry||13|2.0 tablespoon|29.58|0.4394861393|60|3|4.5|4|4|0||22%||0.5||
Fruit cocktail, canned with extra light syrup|fruit|"09098"|123|0.5 cup|118.294|1.0397822375|55|0.49|0.09|14.3|1.4|--|10|0.37|5|0.012|0|3.7
Fruit cocktail, canned with heavy syrup|fruit|"09100"|248|1.0 cup|236.588|1.0482357516|181|0.97|0.17|46.9|2.5|44.42|15|0.72|--|0.025|0|4.7
fruit puree|viscous "liquids"|||||||||||||||||
Gelatin|small volume dry||8|1.0 tablespoon|14.79|0.5409060176|20|8|0|0|0|0||||||
Gin, rum, vodka, or whiskey|liquid||42|1.5 oz||0.789|97|0|0|0|0|0||||||
Granulated sugar|sweeteners||4|1.0 teaspoon|4.92892|0.8115368073|16|0|0|4.2|0|4.2|||0|0|0|
Grapefruit juice, canned, sweetened|liquid|"09124"|250|1.0 cup|236.588|1.0566892657|115|1.45|0.22|27.82|0.2|27.58|20|0.9|5|0.03|0|67.2
Grapefruit, sections with juice|fruit|"09112"|230|1.0 cup|236.588|0.9721541245|97|1.77|0.32|24.52|3.7|15.85|51|0.18|0|0.048|0|71.8
Grapefruit, sections, canned with liquid|fruit|"09120"|249|1.0 cup|236.588|1.0524625087|92|1.74|0.22|22.93|1|21.91|37|0.52|17|0.03|0|84.4
Grapes, canned with liquids|fruit|"09133"|245|1.0 cup|236.588|1.0355554804|98|1.22|0.27|25.24|1.5|23.76|24|2.4|15|0.086|0|2.4
Grapes, raw|fruit|"09131"|92|1.0 cup|236.588|0.3888616498|62|0.58|0.32|15.78|0.8|14.95|13|0.27|2|0.105|0|3.7
Guar gum|small volume dry||7|1.0 tablespoon|14.79|0.4732927654|20|0|0|6|6|0||1%|2|0|0|
Honey|sweeteners||21|1.0 tablespoon|14.79|1.4198782961|60|0|0|17|0|16|||0|0|0|
Instant oats|bulk dry||50|0.5 cup|118.294|0.4226757063|197|7.576|3.788|34.848|4.545|0||76%||0.758||
Kiwifruit, sliced|fruit|"09148"|180|1.0 cup|236.588|0.7608162713|110|2.05|0.94|26.39|5.4|16.18|61|0.56|5|0.052|0|166.9
